,2006-01-01 00:00:00,2007-01-01 00:00:00,2008-01-01 00:00:00,2009-01-01 00:00:00,2010-01-01 00:00:00,2011-01-01 00:00:00,2012-01-01 00:00:00,2013-01-01 00:00:00,2014-01-01 00:00:00,2015-01-01 00:00:00,2016-01-01 00:00:00,Country,Continent
17,12.06,12.457,12.237,12.397,12.34,12.434,12.603,12.638,12.674,12.832,12.981,Australia,Australia
23,9.6990004,9.8219995,9.8719997,10.205,10.053,9.9700003,9.9540005,10.04,10.006,9.9499998,9.7580004,Belgium,Europe
32,0.87,0.92000002,0.95999998,1.03,1.08,1.09,1.1799999,1.21,1.21,1.21,1.24,Brazil,South America
100,6.8920002,6.961,7.2420001,7.6700001,7.9439998,7.967,8.1160002,8.1700001,8.2220001,8.3500004,8.4790001,Canada,North America
38,1.42,1.45,1.4400001,1.52,1.5599999,1.59,1.63,1.72,1.76,1.8099999,1.91,Chile,South America
108,1.01,1.02,1.01,1.04,1.0599999,1.0599999,1.09,1.11,1.13,1.13,1.12,Colombia,South America
41,,,,,,,,,2.4100001,2.5599999,2.6300001,Costa Rica,Central America
225,2.2739999,2.2920001,2.155,2.1329999,2.102,2.062,1.997,2.01,2.0639999,2.2360001,2.3710001,Czech Republic,Europe
53,1.651,1.858,2.0350001,2.036,1.978,1.8839999,1.891,2.03,2.2539999,2.4879999,2.7390001,Estonia,Europe
58,10.119,10.227,10.245,10.426,10.351,10.343,10.471,10.516,10.573,10.658,10.705,France,Europe
45,,,,,,,,,,9.427,9.382,Germany,Europe
68,4.3540001,4.4580002,4.5469999,4.75,4.6160002,4.5040002,3.6059999,3.52,3.566,3.6289999,3.6600001,Greece,Europe
233,1.801,1.748,1.737,1.727,1.693,1.729,1.951,2.0209999,2.098,2.1619999,2.279,Hungary,Europe
86,9.1780005,9.6969995,9.5080004,9.9540005,10.048,9.7950001,9.632,9.5839996,9.5649996,9.5930004,10.148,Ireland,Europe
88,5.7680001,6.0289998,5.9219999,5.8369999,5.6849999,5.684,5.8200002,5.9390001,5.9109998,6.3109999,6.5879998,Israel,Asia
91,5.691,5.7490001,5.7919998,5.9949999,6.1389999,6.2800002,6.3540001,6.441,6.395,6.4809999,6.652,Japan,Asia
247,3.4170001,3.7409999,3.872,3.9979999,3.9909999,4.0320001,4.1830001,4.382,4.638,4.9330001,5.2800002,Korea,
117,0.96700001,1.26,1.625,1.822,1.781,1.914,1.864,1.832,2.052,2.2969999,2.3540001,Latvia,Europe
122,1.493,1.595,1.774,1.699,1.677,1.61,1.604,1.641,1.729,2.017,2.177,Lithuania,Europe
123,11.456,11.672,11.512,12.002,11.929,11.969,11.955,12.088,12.391,12.333,12.087,Luxembourg,Europe
138,0.53100002,0.53100002,0.52499998,0.52200001,0.52499998,0.52899998,0.52999997,0.53200001,0.53100002,0.542,0.56,Mexico,North America
153,9.507,9.5780001,9.6090002,9.8070002,9.8360004,9.6789999,9.6440001,9.5240002,9.5670004,9.5830002,9.7379999,Netherlands,Europe
151,8.4359999,8.993,9.2869997,9.5340004,9.552,9.3640003,9.5799999,9.6920004,9.8339996,10.202,10.483,New Zealand,Australia
174,1.686,1.7130001,1.979,2.1600001,2.174,2.194,2.293,2.4219999,2.5420001,2.671,2.8429999,Poland,Europe
175,2.786,2.8399999,2.9260001,3.1170001,3.244,3.1960001,3.1099999,3.1010001,3.142,3.2219999,3.3610001,Portugal,Europe
247,0.234,0.44800001,0.39300001,0.662,0.61900002,0.59299999,0.579,0.61199999,0.60600001,0.56300002,0.54699999,Russian Federation,
247,1.501,1.637,1.714,1.883,1.961,2.0209999,2.085,2.085,2.085,2.085,2.085,Slovak Republic,
198,3.921,3.8770001,3.9649999,4.079,4.809,4.9520001,4.9390001,4.9840002,5.006,5.0469999,5.0500002,Slovenia,Europe
200,3.9920001,4.0970001,4.1389999,4.3169999,4.3039999,4.2249999,4.1240001,4.0910001,4.0970001,4.1389999,4.1890001,Spain,Europe
227,2.273,2.2579999,2.2219999,2.279,2.3010001,2.3699999,2.434,2.4790001,2.5109999,2.694,3.2320001,Turkey,Asia
241,9.8059998,10.07,10.045,10.148,9.96,9.7639999,9.7200003,9.6470003,9.7220001,10.007,10.262,United Kingdom,Europe
240,6.0549998,6.2410002,6.7810001,7.579,7.8800001,7.6389999,7.4840002,7.3759999,7.2589998,7.25,7.1599998,United States,North America
