Time,Australia,Belgium,Brazil,Canada,Chile,Colombia,Costa Rica,Czech Republic,Estonia,France,Germany,Greece,Hungary,Ireland,Israel,Japan,Korea,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Poland,Portugal,Russian Federation,Slovak Republic,Slovenia,Spain,Turkey,United Kingdom,United States
2006-01-01,12.06,9.6990004,0.87,6.8920002,1.42,1.01,,2.2739999,1.651,10.119,,4.3540001,1.801,9.1780005,5.7680001,5.691,3.4170001,0.96700001,1.493,11.456,0.53100002,9.507,8.4359999,1.686,2.786,0.234,1.501,3.921,3.9920001,2.273,9.8059998,6.0549998
2007-01-01,12.457,9.8219995,0.92000002,6.961,1.45,1.02,,2.2920001,1.858,10.227,,4.4580002,1.748,9.6969995,6.0289998,5.7490001,3.7409999,1.26,1.595,11.672,0.53100002,9.5780001,8.993,1.7130001,2.8399999,0.44800001,1.637,3.8770001,4.0970001,2.2579999,10.07,6.2410002
2008-01-01,12.237,9.8719997,0.95999998,7.2420001,1.4400001,1.01,,2.155,2.0350001,10.245,,4.5469999,1.737,9.5080004,5.9219999,5.7919998,3.872,1.625,1.774,11.512,0.52499998,9.6090002,9.2869997,1.979,2.9260001,0.39300001,1.714,3.9649999,4.1389999,2.2219999,10.045,6.7810001
2009-01-01,12.397,10.205,1.03,7.6700001,1.52,1.04,,2.1329999,2.036,10.426,,4.75,1.727,9.9540005,5.8369999,5.9949999,3.9979999,1.822,1.699,12.002,0.52200001,9.8070002,9.5340004,2.1600001,3.1170001,0.662,1.883,4.079,4.3169999,2.279,10.148,7.579
2010-01-01,12.34,10.053,1.08,7.9439998,1.5599999,1.0599999,,2.102,1.978,10.351,,4.6160002,1.693,10.048,5.6849999,6.1389999,3.9909999,1.781,1.677,11.929,0.52499998,9.8360004,9.552,2.174,3.244,0.61900002,1.961,4.809,4.3039999,2.3010001,9.96,7.8800001
2011-01-01,12.434,9.9700003,1.09,7.967,1.59,1.0599999,,2.062,1.8839999,10.343,,4.5040002,1.729,9.7950001,5.684,6.2800002,4.0320001,1.914,1.61,11.969,0.52899998,9.6789999,9.3640003,2.194,3.1960001,0.59299999,2.0209999,4.9520001,4.2249999,2.3699999,9.7639999,7.6389999
2012-01-01,12.603,9.9540005,1.1799999,8.1160002,1.63,1.09,,1.997,1.891,10.471,,3.6059999,1.951,9.632,5.8200002,6.3540001,4.1830001,1.864,1.604,11.955,0.52999997,9.6440001,9.5799999,2.293,3.1099999,0.579,2.085,4.9390001,4.1240001,2.434,9.7200003,7.4840002
2013-01-01,12.638,10.04,1.21,8.1700001,1.72,1.11,,2.01,2.03,10.516,,3.52,2.0209999,9.5839996,5.9390001,6.441,4.382,1.832,1.641,12.088,0.53200001,9.5240002,9.6920004,2.4219999,3.1010001,0.61199999,2.085,4.9840002,4.0910001,2.4790001,9.6470003,7.3759999
2014-01-01,12.674,10.006,1.21,8.2220001,1.76,1.13,2.4100001,2.0639999,2.2539999,10.573,,3.566,2.098,9.5649996,5.9109998,6.395,4.638,2.052,1.729,12.391,0.53100002,9.5670004,9.8339996,2.5420001,3.142,0.60600001,2.085,5.006,4.0970001,2.5109999,9.7220001,7.2589998
2015-01-01,12.832,9.9499998,1.21,8.3500004,1.8099999,1.13,2.5599999,2.2360001,2.4879999,10.658,9.427,3.6289999,2.1619999,9.5930004,6.3109999,6.4809999,4.9330001,2.2969999,2.017,12.333,0.542,9.5830002,10.202,2.671,3.2219999,0.56300002,2.085,5.0469999,4.1389999,2.694,10.007,7.25
2016-01-01,12.981,9.7580004,1.24,8.4790001,1.91,1.12,2.6300001,2.3710001,2.7390001,10.705,9.382,3.6600001,2.279,10.148,6.5879998,6.652,5.2800002,2.3540001,2.177,12.087,0.56,9.7379999,10.483,2.8429999,3.3610001,0.54699999,2.085,5.0500002,4.1890001,3.2320001,10.262,7.1599998
